report_id,terminal_outcome,terminal_stage,failure_code
cohort-076eca6d31e0c1dcddf0,failed,,validation_failed
cohort-4b763ae2286ca69fe8ac,failed,,soft_copy_claim_provenance_binding_invalid
cohort-77bc67b2bc98187d9d58,awaiting_review,,
cohort-8ef1021c332aa85ba008,awaiting_review,,
cohort-979a63a1633a7f2ccc51,awaiting_review,,
cohort-b10ed6c82b76739a806a,awaiting_review,,
cohort-b3cb5f66cccda4420be2,failed,,artifact_structured_output_invalid
cohort-b638414df0b1fccea1cd,failed,,artifact_structured_output_invalid
cohort-e854b71d6fb10333b47f,awaiting_review,,
cohort-f1652970000cfe246c94,awaiting_review,,
cohort-f62048b469dd784e6e7c,failed,,validation_failed
cohort-fb16d52bb8f60827077c,awaiting_review,,
